id,Open,High,Low,Close,Adj Close,Volume,Date
131,19049.199219,19189.800781,18653,18888.800781,18225.052734,71703,2016-02-25
132,19001,19160.800781,18790.199219,18885.599609,18221.960938,43518,2016-02-26
133,18820,19400,18450.300781,18900.599609,18236.435547,53194,2016-02-29
134,18950,19360,18900,19184.300781,18510.167969,79542,2016-03-01
135,19500,19500,19223.199219,19321.900391,18642.931641,73864,2016-03-02
136,19430,19431,19252,19328.400391,18649.203125,45045,2016-03-03
137,19400,19400,19101,19258.5,18581.759766,23201,2016-03-04
138,19200,19995,19150,19802.099609,19106.257813,103545,2016-03-08
139,19836,20272.5,19777.400391,19933.800781,19233.330078,79969,2016-03-09
140,19950,20010,19700.199219,19799.900391,19104.136719,94239,2016-03-10
141,19820,20127.800781,19715,20004,19301.064453,47331,2016-03-11
142,20200,20250,19800,19849.800781,19152.283203,72891,2016-03-14
143,19874.800781,19874.800781,19461,19548.300781,18861.376953,135959,2016-03-15
144,19540.900391,19540.900391,18655,18693.400391,18036.517578,94011,2016-03-16
145,18780,18800,17995,18036.199219,17402.412109,93859,2016-03-17
146,18051,18494,17895,18413.400391,17766.359375,73659,2016-03-18
147,18564,18600,18180,18356.300781,17711.263672,45715,2016-03-21
148,18500,18500,18002,18236.699219,17692.246094,35649,2016-03-22
149,18299,18699.800781,18003,18554.099609,18000.171875,45827,2016-03-23
150,18597,18654.5,18330,18410.300781,17860.666016,28647,2016-03-28
151,18450,18750,18181.099609,18633.400391,18077.103516,40170,2016-03-29
152,18799.800781,18833,18533.400391,18736.800781,18177.417969,54147,2016-03-30
153,18825,19350,18549.400391,19180.599609,18607.966797,163329,2016-03-31
154,19080.599609,19450,18910.800781,19254.099609,18679.273438,80018,2016-04-01
155,19384,19571,19285.099609,19503.900391,18921.617188,50596,2016-04-04
156,19400,19448.900391,18642.099609,18735.5,18176.15625,48652,2016-04-05
157,18834,19225.400391,18635.5,19179.800781,18607.191406,33880,2016-04-06
158,19150,19197.900391,18779.800781,18884.099609,18320.320313,20678,2016-04-07
159,18935,19290.800781,18805.099609,19181.199219,18608.548828,25630,2016-04-08
160,19160,19425,19000,19388.900391,18810.050781,28504,2016-04-11
161,19320,19600,19311,19557.800781,18973.90625,54241,2016-04-12
162,19657.800781,19968,19557.800781,19896.300781,19302.300781,85559,2016-04-13
163,19917.199219,20600,19917.199219,20268.300781,19663.199219,54538,2016-04-18
164,20330.099609,20579.199219,20250.099609,20511.199219,19898.84375,51992,2016-04-20
165,20530,20699.800781,20200,20328.800781,19721.888672,36260,2016-04-21
166,20229,20374.800781,20101,20169.900391,19567.732422,24141,2016-04-22
167,20190,20190,19909.900391,19945.400391,19349.9375,29389,2016-04-25
168,19945,20325,19850,20148.400391,19546.875,51001,2016-04-26
169,20168.699219,20200.800781,20060,20114.300781,19513.792969,28384,2016-04-27
170,20199,20373.400391,20070,20292.900391,19687.060547,45921,2016-04-28
171,20289,20289.900391,19950.099609,20035,19436.857422,30418,2016-04-29
172,19984.900391,20130,19800,19854.300781,19261.558594,32622,2016-05-02
173,19964,20279.900391,19800,19981.5,19384.957031,39406,2016-05-03
174,19999.900391,20088.599609,19608.099609,19760.800781,19170.845703,25545,2016-05-04
175,19870,20000,19214.599609,19686.699219,19098.957031,152412,2016-05-05
176,19768.699219,20349,19620,20215.900391,19612.361328,62830,2016-05-06
177,20399.599609,20500,20280.599609,20483.199219,19871.679688,36800,2016-05-09
178,20499,20499,20079.199219,20239.199219,19634.964844,41324,2016-05-10
179,20100,20160,19908.400391,19976.800781,19380.396484,20679,2016-05-11
180,20004,20244,19701,19753.099609,19163.375,63011,2016-05-12
181,18900.099609,19553.599609,18380,18992.800781,18425.777344,1431668,2016-05-13
182,19150,19210,18850,19063.199219,18494.072266,50457,2016-05-16
183,19101,19163.199219,18555.199219,18601.699219,18046.351563,49476,2016-05-17
184,18509,18817.800781,18321.199219,18720,18161.119141,48024,2016-05-18
185,18750,18762.800781,18100,18200.699219,17657.324219,38027,2016-05-19
186,18260,18350,18125,18280.699219,17734.933594,58713,2016-05-20
187,18380,18440,18200,18268.099609,17722.710938,28228,2016-05-23
188,18268.099609,18297.900391,18010,18177.300781,17634.625,33560,2016-05-24
189,18300,18560,18266.300781,18530.699219,17977.470703,28001,2016-05-25
190,18530,18670,18311.400391,18394.300781,17845.144531,129076,2016-05-26
191,18494,18799,18425.199219,18742.300781,18182.753906,27129,2016-05-27
192,18711,18811,18600,18741.699219,18182.169922,20513,2016-05-30
193,18839.400391,18849.199219,18270,18485.800781,17933.914063,64395,2016-05-31
194,18500,18809,18500,18713.199219,18154.523438,61178,2016-06-01
195,18701,18920,18652.099609,18806.800781,18245.330078,23820,2016-06-02
196,18806,18898,18626.199219,18787,18226.117188,36199,2016-06-03
197,18785,19065.5,18749,18994.900391,18427.8125,47867,2016-06-06
198,19090,19143.900391,18716.300781,18828.099609,18265.992188,31957,2016-06-07
199,18920,18920,18689.800781,18824.599609,18262.597656,15021,2016-06-08
200,18850,18888.099609,18538.199219,18584,18029.177734,14255,2016-06-09
201,18545.099609,18700,18434,18620.199219,18064.298828,27958,2016-06-10
202,18500,18552.699219,18277.699219,18447.699219,17896.947266,20386,2016-06-13
203,18475,18809.900391,18350,18753.699219,18193.8125,23041,2016-06-14
204,18780,18829.800781,18570,18637.199219,18080.789063,35005,2016-06-15
205,18600,18897,18505.400391,18827.699219,18265.603516,29359,2016-06-16
206,18830.099609,18893.599609,18675,18779.099609,18218.453125,22454,2016-06-17
207,18721.099609,18757.5,18610,18660.599609,18103.494141,20556,2016-06-20
208,18747,18830.800781,18636.699219,18713.199219,18154.523438,17417,2016-06-21
209,18695,18800,18675.800781,18787.599609,18226.699219,14449,2016-06-22
210,18711,18787.800781,18600.099609,18659.400391,18102.330078,21701,2016-06-23
211,18388,18726,18000,18662.199219,18105.044922,36750,2016-06-24
212,18662.199219,18748.300781,18430.300781,18710.699219,18152.097656,22888,2016-06-27
213,18690,19225.699219,18689.900391,19166.300781,18594.095703,42238,2016-06-28
214,19289.699219,19349.300781,19067.800781,19116.199219,18545.490234,32587,2016-06-29
215,19300,19306.900391,19133.199219,19222.400391,18648.521484,44664,2016-06-30
216,19222,19450,19050.199219,19155.099609,18583.232422,48199,2016-07-01
217,19350,19640,19250,19492.199219,18910.265625,41668,2016-07-04
218,19500,19500,19325.199219,19431.400391,18851.279297,20311,2016-07-05
219,19499,19649,19300,19593.099609,19008.152344,23864,2016-07-07
