id,Open,High,Low,Close,Adj Close,Volume,Date
162,505.149994,515,504,511.899994,501.651642,3642720,2016-04-13
163,515,525.700012,507.100006,524.099976,513.6073,3507933,2016-04-18
164,525,530.400024,519.25,527.200012,516.645386,2898556,2016-04-20
165,530,534,526.599976,532,521.349243,3392813,2016-04-21
166,529.700012,536.549988,527,531.349976,520.712219,1880283,2016-04-22
167,532.5,533.849976,523.5,526.5,515.959351,1959119,2016-04-25
168,524.650024,542.25,524.150024,540.5,529.678955,1855477,2016-04-26
169,539.5,544.299988,534.5,540.200012,529.385071,1456338,2016-04-27
170,538.900024,543.75,525,528.25,517.674377,3088525,2016-04-28
171,527.200012,538.400024,527.099976,537,526.249084,932705,2016-04-29
172,536.950012,544.599976,535,540.650024,529.826111,1336667,2016-05-02
173,540,547,526.549988,536.849976,526.102051,1524809,2016-05-03
174,534,541.349976,529,533.200012,522.525208,785756,2016-05-04
175,535.5,544,533.5,541.799988,530.953003,1025103,2016-05-05
176,540,542.75,535.099976,537.349976,526.592102,511789,2016-05-06
177,538.299988,540.200012,533.25,536.549988,525.808105,727957,2016-05-09
178,537,539.5,532.75,537.049988,526.298157,669096,2016-05-10
179,532,539.5,530.75,536.599976,525.857117,943441,2016-05-11
180,536.950012,542.450012,534.349976,536.299988,525.563171,670055,2016-05-12
181,534.450012,538.700012,530.049988,531.700012,521.055115,891484,2016-05-13
182,533.849976,533.849976,520.349976,521.799988,511.353363,883516,2016-05-16
183,523,528.650024,522.5,523.75,513.264343,679688,2016-05-17
184,522.549988,526.75,520.049988,524.549988,514.048279,653047,2016-05-18
185,524.099976,525.900024,510.200012,512.700012,502.435608,1062398,2016-05-19
186,514.299988,515.25,501.200012,507.100006,496.947723,1700932,2016-05-20
187,510,510,494.799988,497.399994,487.441895,2021694,2016-05-23
188,499.950012,505.200012,491.549988,494.049988,484.158936,2526624,2016-05-24
189,480,480,457.450012,469.799988,460.39447,15183389,2016-05-25
190,472.700012,473.899994,466,467.950012,458.581512,4432025,2016-05-26
191,470.899994,478.5,469.100006,473.450012,463.971405,2638981,2016-05-27
192,476.950012,478.5,470,473.549988,464.069397,1183625,2016-05-30
193,475.399994,479.25,471,472.649994,463.187408,2368362,2016-05-31
194,474.700012,474.700012,462.75,464.899994,455.59256,1247617,2016-06-01
195,464.450012,470,459,468.100006,458.728546,1354914,2016-06-02
196,470.5,473.950012,462.299988,465.200012,455.886566,1318109,2016-06-03
197,468.950012,471.5,465.399994,466.649994,457.307526,1409144,2016-06-06
198,466.649994,471.899994,466.649994,468.350006,458.973541,1797918,2016-06-07
199,471.850006,474,468,472.149994,462.697418,811331,2016-06-08
200,473.549988,481.950012,469.100006,479.100006,469.50827,1695845,2016-06-09
201,475,486.600006,474.5,476.450012,466.911346,1704257,2016-06-10
202,474.950012,479.899994,465.549988,468.700012,459.316528,1271568,2016-06-13
203,470.100006,484,469.549988,482.700012,473.036224,2522251,2016-06-14
204,485.899994,492.549988,483.799988,490.049988,480.239044,1860880,2016-06-15
205,487.799988,488.850006,479.350006,486.649994,476.907135,1239939,2016-06-16
206,487,490,484.049988,486.450012,476.711151,593507,2016-06-17
207,486.649994,490.899994,482.549988,488.25,478.475128,1026672,2016-06-20
208,490,490,480.299988,483.399994,473.722198,861422,2016-06-21
209,483.850006,486.5,480,482.450012,472.791229,673949,2016-06-22
210,481.100006,483,474.649994,475.75,466.225342,1918112,2016-06-23
211,468,478,459.600006,476.549988,467.009308,1875935,2016-06-24
212,475,491,474,489.049988,479.259064,2362093,2016-06-27
213,490,499,486.549988,497.350006,487.392883,1775304,2016-06-28
214,498.799988,504,496.049988,502.450012,492.390808,1048438,2016-06-29
215,505,506.799988,499.450012,501,490.969818,2152521,2016-06-30
216,502,510,499.850006,508.600006,498.417664,1008068,2016-07-01
217,510.700012,513.400024,508.100006,510.200012,499.985687,1055119,2016-07-04
218,510.200012,511.100006,502.700012,507,496.849731,689915,2016-07-05
219,505.5,517.349976,504.049988,514.299988,504.00354,2078580,2016-07-07
220,518,522.450012,513.049988,520.299988,509.883453,1828792,2016-07-08
221,525.400024,528.25,520,522,511.549377,1441960,2016-07-11
222,522.5,522.900024,514.099976,515.700012,505.375549,891315,2016-07-12
223,516,519.450012,511.200012,514.599976,504.297516,1202156,2016-07-13
224,515.900024,516.599976,507,511.950012,501.700623,1257722,2016-07-14
225,513.950012,518.900024,510.200012,516.400024,506.061554,1004156,2016-07-15
226,517.049988,517.299988,505.299988,506.950012,496.80069,1459230,2016-07-18
227,507,510.399994,500.549988,505.799988,495.673737,1027246,2016-07-19
228,507.450012,519.400024,505.25,517.849976,507.482422,3584904,2016-07-20
229,522.5,526.950012,514,515.849976,505.522491,2274652,2016-07-21
230,516,522.900024,512.349976,520.400024,509.981445,1188747,2016-07-22
231,514.049988,526.5,513,524.599976,514.09729,1337348,2016-07-25
232,527.5,530.150024,521.75,523.549988,513.068298,2105457,2016-07-26
