id,Open,High,Low,Close,Adj Close,Volume,Date
60,457.524994,469.274994,457.25,466.524994,446.749908,6255098,2015-11-13
61,463,471,462.375,467.149994,447.348419,7015926,2015-11-16
62,469.024994,469.450012,463.100006,463.875,444.21225,3926210,2015-11-17
63,463.799988,465.649994,454.975006,456,436.671021,5142766,2015-11-18
64,459.450012,469.350006,458.625,467.375,447.563873,5569752,2015-11-19
65,467,476.399994,462.774994,473.424988,453.357422,5167930,2015-11-20
66,475,478.950012,473.100006,476.875,456.661224,4800026,2015-11-23
67,476.5,485.799988,475.524994,483.850006,463.340515,6768886,2015-11-24
68,485.5,495.975006,484.125,494.325012,473.371552,10883224,2015-11-26
69,494.5,496.25,487.049988,489.524994,468.774963,4979394,2015-11-27
70,489.25,492.200012,481.149994,483.549988,463.053223,13678054,2015-11-30
71,482,489.399994,480.625,482.950012,462.478699,5934650,2015-12-01
72,483.125,489.850006,482.25,488.975006,468.248291,3462408,2015-12-02
73,487.450012,494.475006,487.049988,488.600006,467.88916,5194048,2015-12-03
74,486.149994,488.100006,480.700012,482.725006,462.263214,6146002,2015-12-04
75,482.725006,486.5,474.875,476.024994,455.847229,6621556,2015-12-07
76,474.450012,476.799988,468.049988,470.450012,450.508545,3443452,2015-12-08
77,468.100006,471.725006,456.424988,457.950012,438.538361,4194236,2015-12-09
78,461.25,476.899994,460,475.174988,455.033234,8499730,2015-12-10
79,475.875,479.5,471.450012,476.475006,456.278137,8300090,2015-12-11
80,473.799988,481.75,473,477.549988,457.307526,4829460,2015-12-14
81,478.5,488.975006,476.825012,487.950012,467.266724,7186122,2015-12-15
82,487.950012,493.774994,486.75,489.325012,468.583435,5530496,2015-12-16
83,490.024994,507.5,489,504.850006,483.450378,8854870,2015-12-17
84,501.899994,504.5,495,495.950012,474.927643,7322040,2015-12-18
85,493.950012,499.5,492.174988,496.049988,475.023376,5637670,2015-12-21
86,496.399994,501.299988,492,493.649994,472.725128,5293656,2015-12-22
87,495.899994,503.450012,495,501.899994,480.625427,5906346,2015-12-23
88,501.950012,503.600006,498.149994,500.274994,479.069305,5441138,2015-12-24
89,500.299988,506.875,500,505.200012,483.785553,5891016,2015-12-28
90,505.200012,509.350006,503.575012,507.700012,486.179596,6818120,2015-12-29
91,507.5,508,501,502.25,480.960602,3726642,2015-12-30
92,501.700012,509.850006,499.549988,507.299988,485.796509,8450132,2015-12-31
93,504.899994,509.450012,504.100006,507.674988,486.15564,2476270,2016-01-01
94,502.5,506.899994,493.350006,497.649994,476.555573,13793142,2016-01-04
95,500.149994,505,498.5,502.575012,481.27179,6832918,2016-01-05
96,503.799988,519.200012,500.200012,516.099976,494.223511,12233710,2016-01-06
97,510.524994,514,504.024994,506.625,485.150116,9024438,2016-01-07
98,510,516.450012,508.350006,512.875,491.135223,9743678,2016-01-08
99,507.975006,530.400024,505.5,525.799988,503.512329,13265342,2016-01-11
100,527.5,532.700012,520.549988,522.724976,500.567719,10685522,2016-01-12
101,526.549988,544.875,523.599976,538.424988,515.602234,32825622,2016-01-13
102,531.924988,540.5,526.525024,530.825012,508.324341,12719826,2016-01-14
103,534.875,544.75,532.799988,536.650024,513.902466,13151450,2016-01-15
104,537.5,541.974976,504.049988,508.424988,486.87381,12459918,2016-01-18
105,514.5,524.900024,507.049988,521.799988,499.681915,9824192,2016-01-19
106,517.450012,517.450012,495,502.274994,480.984528,20624706,2016-01-20
107,508.774994,512.875,488.350006,492.100006,471.240845,14523544,2016-01-21
108,497.024994,505.5,497.024994,502.075012,480.79303,10826910,2016-01-22
109,505,509.375,500,501.975006,480.697266,5988680,2016-01-25
110,504.049988,505,498.475006,499.674988,478.494751,7886590,2016-01-27
111,500.5,510.899994,498.549988,508.450012,486.897797,10548946,2016-01-28
112,509.475006,520,509,517.700012,495.755707,8767154,2016-01-29
113,519.974976,520.900024,512.775024,515.150024,493.313812,4534546,2016-02-01
114,515.150024,516.400024,495.25,500.575012,479.356567,6752932,2016-02-02
115,494,497,487.5,490.700012,469.900208,7173616,2016-02-03
116,494,500.5,482.850006,486.524994,465.902161,8322158,2016-02-04
117,489.549988,491,480.700012,485.450012,464.872711,9599764,2016-02-05
118,485.549988,492.399994,478.975006,480.524994,460.156433,5521706,2016-02-08
119,476.450012,484.399994,475,478.75,458.456726,8962058,2016-02-09
120,475.850006,486.5,474.325012,481.325012,460.922607,7718500,2016-02-10
121,481.424988,482.975006,457.75,462.274994,442.680023,7824326,2016-02-11
122,466.950012,466.950012,444.049988,453.274994,434.061554,13403870,2016-02-12
123,459,475.674988,459,473.375,453.309509,8815778,2016-02-15
124,475.549988,479,463.5,465.274994,445.552887,5954526,2016-02-16
125,467.549988,478.725006,458.200012,476.299988,456.110535,7059664,2016-02-17
126,481.475006,484.350006,468,470.049988,450.125458,6598322,2016-02-18
127,470,476.375,468.674988,472.174988,452.160431,4679328,2016-02-19
128,472.049988,484.149994,472.049988,481.149994,460.755005,5838396,2016-02-22
129,481.549988,483.600006,471.375,474.825012,454.69812,8681492,2016-02-23
130,472.450012,479.274994,471,476.325012,456.134521,6942622,2016-02-24
131,477.100006,478.274994,470.424988,472.049988,452.04071,11350050,2016-02-25
132,476.5,479.375,472.149994,475.174988,455.033234,3817066,2016-02-26
133,475.649994,497.299988,467.5,483.325012,462.837799,14186948,2016-02-29
134,482.350006,492.524994,482.325012,490.649994,469.852295,7521846,2016-03-01
135,496.450012,502.875,493.625,500.75,479.52417,9191772,2016-03-02
136,505,509,498.75,506.424988,484.958618,7260012,2016-03-03
137,507,507.5,501.75,503.200012,481.870361,4108856,2016-03-04
138,503.75,515.450012,503.75,513.5,491.733734,6045108,2016-03-08
139,510,521.950012,509.299988,520.849976,498.772247,5419662,2016-03-09
140,521.025024,522.950012,504.5,505.875,484.431915,9466248,2016-03-10
141,507.450012,514.775024,505.299988,507.25,485.748657,7003352,2016-03-11
142,509.549988,513.200012,506.475006,509.875,488.26236,5431180,2016-03-14
143,512,513.924988,507.549988,510.25,488.621521,4794664,2016-03-15
144,510.5,512.900024,502.725006,510.875,489.220001,5058148,2016-03-16
145,513.5,518.450012,506,508,496.674988,7695480,2016-03-17
146,509.125,515.075012,507.850006,513.599976,502.150146,6414492,2016-03-18
147,513.974976,520.75,511.375,518.650024,507.087616,5809704,2016-03-21
148,518.5,526.125,517.825012,523.924988,512.244995,7009934,2016-03-22
